Country,Values
 China,77388106
 Indonesia,41687340
 Japan,38902984
 India,28516322
 Chile,7837134
 Pakistan,7411586
 Philippines,6572590
 Turkey,6515480
 Guatemala,6450010
 Nepal,6352000
 Peru,6164388
 Haiti,4331099
 Mexico,4138061
 Iran,2724035
 El Salvador,2412930
 Soviet Union,2207297
 Colombia,1380119
 Algeria,1202639
 Sri Lanka,1019306
 Greece,960891
 Italy,871134
 Nicaragua,746175
 Azerbaijan,734971
Afghanistan,720763
 Ecuador,688096
 New Zealand,622762
 Papua New Guinea,594909
 Yemen,441539
 Romania,392850
 Yugoslavia,316840
 Croatia,230349
 Albania,216120
 Kyrgyzstan,176063
 Costa Rica,164493
 Tanzania,139601
 Taiwan,112028
 Somalia,105083
 Egypt,92968
 Argentina,87879
 Thailand,84546
 United States,78086
 Malawi,70836
 Russia,68681
 Uganda,52590
 Honduras,52519
 Uzbekistan,50000
 Tajikistan,48762
 Myanmar,39775
 Kazakhstan,36626
 Korea,34889
 Georgia,30212
 Maldives,27214
 Serbia,27030
 Brazil,23286
 Azores Islands,23000
 Panama,21511
 Guinea,21436
 Bhutan,20530
 Congo,19561
 Bangladesh,19395
 Solomon Islands,18111
 Bolivia,18050
 Spain,15320
 Vanuatu,15105
 Armenia,15000
 Morocco,13465
 Comoros,10000
 Sudan,8015
 Venezuela,7369
 Australia,7140
 Iraq,6469
 Tonga,6012
 Cuba,5877
 Samoa,5584
 Puerto Rico,5228
 Malaysia,5073
 Seychelles,4830
 United Kingdom,4501
 Bulgaria,3962
 American Samoa,2500
 Rwanda,2286
 Dominican Rep,2115
 South Africa,2112
 Timor-Leste,2003
 Cyprus,1865
 Hungary,1800
 Germany,1675
 Mozambique,1476
 Slovenia,1305
 Poland,1050
 Belgium,1030
 France,756
 Germany Fed Rep,235
 Iceland,205
 Guadeloupe,153
 Burundi,120
 Macedonia,100
 Martinique,100
 Serbia Montenegro,100
 Guam,71
 Netherlands,20
 Wallis and Futuna,20
 Trinidad and Tobago,17
 Barbados,1
 Austria,0
 Fiji,0
 Kenya,0
 Saint Lucia,0
 Turkmenistan,0
