Country,Values
Afghanistan,39197
 Albania,525000
 Algeria,10122
 American Samoa,23060
 Anguilla,15150
 Antigua and Barbuda,52314
 Argentina,145148
 Armenia,88436
 Australia,4162889
 Austria,630
 Azores Islands,60
 Bahamas,53850
 Bangladesh,71255622
 Barbados,13687
 Belarus,21390
 Belgium,1778
 Belize,318925
 Benin,800
 Bermuda,40
 Bhutan,65000
 Bolivia,18740
 Bosnia and Herzegovina,1090
 Botswana,400
 Brazil,239112
 Bulgaria,5890
 Burundi,54365
 Cabo Verde,7722
 Cambodia,943751
 Canada,74119
 Canary Is,0
 Cayman Islands,300
 Central African Republic,37096
 Chad,1445
 Chile,505000
 China,499021782
 Colombia,417132
 Comoros,470174
 Cook Islands,6454
 Costa Rica,1010836
 Croatia,3500
 Cuba,21956260
 Cyprus,40
 Czech Republic,3833
 Czechoslovakia,600
 Dem.Rep.Congo,103036
 Dem.Rep.Korea ,6029690
 Denmark,0
 Djibouti,25775
 Dominican Rep,3107933
 Egypt,47860
 El Salvador,433985
 Eritrea,15675
 Estonia,100
 Fiji,1844777
 Finland,0
 France,4030121
 French Polynesia,8461
 Gabon,4330
 Gambia,48856
 Georgia,8668
 Germany,31138
 Germany Fed Rep,250
 Ghana,12
 Greece,735
 Grenada,61210
 Guadeloupe,91985
 Guam,27908
 Guatemala,4026000
 Guinea,0
 Guinea-Bissau,16966
 Haiti,6839809
 Honduras,8119954
 Hong Kong,52187
 Hungary,165598
 India,140398683
 Indonesia,541908
 Iran,209394
 Ireland,200
 Israel,2003610
 Italy,10950
 Jamaica,1591385
 Japan,2892673
 Jordan,225
 Kazakhstan,0
 Kenya,0
 Kiribati,2200
 Korea,567466
 Kyrgyzstan,9075
" ""Lao Peoples Democratic Republic (the)""",2229793
 Latvia,0
 Lebanon,1117276
 Lesotho,11901
 Liberia,5500
 Lithuania,780000
 Luxembourg,1519
 Macao,4186
 Macedonia,3
 Madagascar,10292962
 Malawi,6358
 Malaysia,48372
 Maldives,25169
 Marshall Islands,6000
 Martinique,30121
 Mauritania,2517
 Mauritius,1035739
 Mexico,8272237
 Micronesia,53834
 Moldova,2625580
 Mongolia,2041624
 Montserrat,12040
 Morocco,117000
 Mozambique,6824623
 Myanmar,3205601
 Nepal,15213
 Netherlands,250101
 Netherlands Antilles,40000
 New Caledonia,3100
 New Zealand,3930
 Nicaragua,2688877
 Niger,1253
 Nigeria,17012
 Niue,902
 Northern Mariana Islands (the),860
 Norway,600
 Oman,32879
 Pakistan,3194944
 Palau,8538
 Palestine,81121
 Panama,45282
 Papua New Guinea,231225
 Paraguay,148057
 Peru,667412
 Philippines,185750766
 Poland,11631
 Portugal,4379
 Puerto Rico,917686
 Reus,21516
 Romania,8593
 Russia,21489
 Rwanda,6553
 Saint Kitts and Nevis,14780
 Saint Lucia,289950
 Saint Vincent and the Grenadines,28571
 Samoa,296703
 Saudi Arabia,122
 Senegal,96853
 Serbia Montenegro,8750
 Seychelles,9800
 Sierra Leone,10003
 Slovakia,10324
 Slovenia,1050
 Solomon Islands,322771
 Somalia,524380
 South Africa,654881
 Soviet Union,10000
 Spain,62732
 Sri Lanka,1711436
 Sudan,16030
 Swaziland,640185
 Sweden,0
 Switzerland,270
 Syrian Arab Republic,3852
 Taiwan,3418289
 Tajikistan,2330
 Tanzania,2038895
 Thailand,5313273
 Timor-Leste,152400
 Tokelau,1858
 Tonga,276288
 Trinidad and Tobago,51560
 Turkey,2209
 Turks and Caicos Islands (the),1700
 Tuvalu,11663
 Uganda,18852
 Ukraine,58962
 United Kingdom,326300
 United States,101538472
 Uruguay,5472
 Vanuatu,568980
 Venezuela,7630
 Viet Nam,55026062
 Virgin Island,20003
 Wallis and Futuna,5752
 Yemen,140939
 Zimbabwe,387684
