Country,Disaster Type,City,Value,Level,Latitude,Longitude,Deaths,People Affected,Economic Loss($),Date
China,Earthquake,Wenchuan,8.2,8.2,31.01,103.42,"69,227",46256000,119154029400,2008-05-12
China,Earthquake,Tangshan,7.8,7.8,39.57,117.98,242769,947620,761367600,1976-07-28
China,Earthquake,Canglan,7.6,7.6,22.81,99.71,748,2000000,289037700,1988-11-06
China,Earthquake,Longling,7.3,7.3,24.6,98.7,98,2540,6344730,1976-05-29
Japan,Earthquake,Xiantai,9.1,9.1,38.1,142.6,"22,207",368820,11902145937500,2011-03-11
Japan,Earthquake,Sendai,8,8,35.16,140.52,28,250000,865000000,1978-06-12
Japan,Earthquake,Okushiri Island (Hokkaido),7.8,7.8,42.47,139.11,239,735500,1000000000,1993-07-12
Japan,Earthquake,Nihon- Kai-Chubu,7.8,7.8,40.27,139.06,102,77000,416000000,1983-05-26
Indonesia,Earthquake,Nangroe Aceh Darussalam,9,9,-0.79,113.92,165708,532898,4451600000,2004-12-26
Indonesia,Earthquake,Simeulue,9,9,2.04,97.01,915,105313,2000000000,2005-03-28
Indonesia,Earthquake,Sikka,7.8,7.8,-8.29,122.58,2500,921030,100000000,1992-12-12
Indonesia,Earthquake,Bengkulu,7.8,7.8,-3.79,106.26,25,459567,500000000,2007-09-12
China,Storm,Fujian,295,295 km/h,26.1,119.3,1174,11001800,8140000000,1994-08-21
China,Storm,Zhejian,216,216 km/h,30.27,120.15,458,5923350,2783197332,2006-08-06
China,Storm,Ningbo,185,185 km/h,29.87,121.54,786,136232,50390000,1988-08-08
China,Storm,Zhanjiang,120,120 km/h,21.27,110.36,359,10415000,1458283270,1996-09-08
Philippines,Storm,Samar,315,315 km/h,11.58,124.97,7354,16106870,10000000000,2013-11-08
Philippines,Storm,Surigao del Norte,275,275 km/h,9.51,125.7,1399,1786865,216700000,1984-09-01
Philippines,Storm,Davao Region,260,260 km/h,7.19,125.46,1901,6246664,898352000,2012-12-04
Philippines,Storm,Calabarzon,220,220 km/h,14.1,121.08,31,3356394,503294000,2020-10-31
India,Storm,Kendrapara,260,260 km/h,20.49,86.43,9843,12628312,2500000000,1999-10-28
India,Storm,Andhra Pradesh state,230,230 km/h,15.91,74.74,902,100000,521000000,1989-11-08
India,Storm,Kerala,222,222 km/h,10.16,76.64,198,700153,1400000000,2021-05-14
India,Storm,Orissa state,220,220 km/h,20.09,85.3,244,300493,120000000,1982-06-03
China,Flood,Nei Mongol,2643786,2643786 km2,40.82,111.77,91,17440000,1200000000,2012-06-22
China,Flood,Hunan,1668000,1668000 km2,28.11,112.98,1437,114470249,6720000000,1995-05-15
China,Flood,Jiangxi,1330000,1330000 km2,28.67,115.91,4150,223000000,23482144200,1998-08-17
China,Flood,Xishui,1287000,1287000 km2,30.45,115.27,430,150146000,7890000000,2003-06-23
United States,Flood,Illinois,1217000,1217000 km2,40.63,-89.4,26,2840,700000000,2007-08-17
United States,Flood,Texas,849465,849465 km2,31.97,-99.91,32,12000,2700000000,2015-05-23
United States,Flood,Missouri,565200,565200 km2,37.96,-91.83,82,1000,2000000,2008-06-13
United States,Flood,Okhlahoma,445000,445000 km2,35.01,-97.09,48,31000,12000000000,1993-06-24
India,Flood,Uttarakhand,131743,131743 km2,30.0668,79.0193,"6,054",504473,1100000,2013-06-16
India,Flood,Bihar,762900,762900 km2,25.9644,85.2722,1479,32704000,258000,1995-09-01
India,Flood,Kachchh,629962,629962 km2,23.7337,69.8597,293,13709887,,2015-07-15
India,Flood,Bombay,491400,491400 km2,19.076,72.8777,72,300000,100000,1991-06-10
